Country,Nitrogen,Panimal,Pvegetal,NMid,NMin,NMax,Energy,PLR,ConstructionLabor,OMLabor,Tax,Coal,Oil,Gas,Hydro,Bio,Geo,Wind,Solar,Nuclear
Korea,96.2,10.06,44.94,0.15,0.04,0.2,0.11,0.781884,2835.15,2686.93,0.25,0.34717,0.229713,0.120734,0.005337,0.013018,0,0.004091,0.013316,0.266621
Canada,104.95,54.7,50.25,0.22,0.04,0.33,0.11,0.960581,3767.53,3767.53,0.27,0.088275,0.011849,0.082931,0.606892,0.011477,0,0.044488,0.005536,0.148551
Ivory Coast,58.51,13.67,44.84,0.12,0.03,0.16,0.12,0.408492,221.71,164.72,0.25,0.429798,0,0.396155,0.155553,0.017775,0,0,0.000719,0
South Africa,85.33,36.39,48.94,0.02,0.001,0.05,0.12,0.464229,235.13,587.82,0.28,0.209248,0.656203,0.030962,0.003623,0.001248,0,0.021393,0.013912,0.063411
Hungary,78.85,42.11,36.74,0.17,0.04,0.25,0.13,0.519636,797.43,897.14,0.09,0.163246,0.049401,0.180896,0.006881,0.075301,0.0000322,0.023696,0.011221,0.489325
Bulgaria,83.53,41.31,42.22,0.17,0.04,0.25,0.13,0.422244,437.77,461.53,0.1,0.175601,0.227092,0.107502,0.065398,0.009249,0,0.035034,0.032769,0.347355
Thailand,60.88,24.85,36.03,0.03,0.01,0.07,0.13,0.382462,281.1,447.71,0.2,0.426802,0.109441,0.291377,0.053259,0.087195,0.0000113,0.006262,0.025653,0
Namibia,57.69,19.55,38.14,0.02,0.001,0.05,0.13,0.532695,301.32,369.12,0.32,0.037669,0.0000436,0,0.959246,0,0,0.003041,0,0
Hong Kong,129.18,94.41,34.77,0.15,0.04,0.2,0.14,0.755452,2125.67,2125.67,0.17,0.68982,0.21015,0.096871,0,0.003074,0,0.0000574,0.0000287,0
Norway,110.9,65.99,44.91,0.17,0.04,0.25,0.14,1.247085,5047.02,4935.41,0.22,0.012449,0.000648,0.004388,0.959732,0.003387,0,0.019396,0,0
Macau,94.84,61.11,33.73,0.15,0.04,0.2,0.15,0.705317,1502.02,2253.03,0.12,0.815216,0,0.184784,0,0,0,0,0,0
Costa Rica,75.07,40.99,34.08,0.06,0.04,0.2,0.15,0.68158,648.56,997.72,0.3,0.00312,0.000000054,0,0.765665,0.016401,0.099652,0.114805,0.000357,0
Kenya,61.84,15.9,45.94,0.02,0.001,0.05,0.15,0.494161,79.47,165.92,0.3,0.186343,0.008277,0,0.313884,0.01246,0.470332,0.004747,0.003956,0
Colombia,64.38,33.48,30.9,0.06,0.04,0.2,0.15,0.443436,309.9,526.49,0.34,0.116931,0.032537,0.057007,0.773894,0.019399,0,0.0000409,0.000191,0
Malta,110.36,61.75,48.61,0.12,0.03,0.16,0.15,0.706524,1937.03,2048.88,0.35,0.819315,0,0.074414,0,0.006425,0,0.000257,0.099589,0
Lithuania,124.49,76.5,47.99,0.17,0.04,0.25,0.16,0.540121,791.45,877.4,0.15,0.12112,0.005991,0.082889,0.180909,0.177879,0,0.410909,0.020303,0
Croatia,84.35,47.98,36.37,0.17,0.04,0.25,0.16,0.540602,1149.92,1369.42,0.18,0.220491,0.022715,0.140091,0.459032,0.045947,0,0.104822,0.006901,0
Iceland,133.54,96.48,37.06,0.17,0.04,0.25,0.16,1.277264,5910.03,5380.28,0.2,0.0000986,0.00000757,0,0.737133,0,0.262337,0.000424,0,0
Honduras,64.88,23.2,41.68,0.06,0.04,0.2,0.16,0.483992,286.14,386.33,0.25,0.407843,0.002176,0,0.328127,0.0839,0.010376,0.064487,0.10309,0
Congo,51.66,22.24,29.42,0.02,0.001,0.05,0.163,0.603719,27.06,91.66,0.35,0.249432,0,0.389356,0.360909,0,0,0,0.000303,0
Romania,103.02,47.2,55.82,0.17,0.04,0.25,0.17,0.436114,516.11,589.77,0.16,0.176491,0.089519,0.166442,0.234541,0.008581,0,0.12112,0.030337,0.172968
Poland,101.47,53.27,48.2,0.17,0.04,0.25,0.17,0.492105,840.34,1005.19,0.19,0.262346,0.453946,0.133935,0.015865,0.04228,0,0.090602,0.001026,0
Estonia,103.9,53.24,50.66,0.17,0.04,0.25,0.17,0.646759,1230.04,1267.65,0.2,0.647038,0.009912,0.18491,0.002122,0.096206,0,0.058996,0.000816,0
Israel,128.14,72.46,55.68,0.09,0.02,0.12,0.17,1.044987,2344.45,3188.85,0.24,0.455269,0.188223,0.329861,0.0000063,0.0000063,0,0.002835,0.023799,0
Panama,79.44,41.64,37.8,0.06,0.04,0.2,0.17,0.61058,748.52,737.69,0.25,0.266018,0.005622,0,0.665524,0.002966,0,0.045412,0.014458,0
Chile,87.36,45.27,42.09,0.06,0.04,0.2,0.17,0.631315,759.64,1107.36,0.27,0.331845,0.129633,0.087668,0.273983,0.07951,0.000839,0.046116,0.050405,0
Latvia,91.39,50.97,40.42,0.17,0.04,0.25,0.18,0.589365,1126.4,1022.91,0.2,0.166697,0.003275,0.093564,0.590212,0.126009,0,0.020189,0.0000542,0
