Country,Nitrogen,Mid,Min,Max
South Africa,85.33,0.02,0.001,0.05
Spain,104.88,0.17,0.04,0.25
Sri Lanka,59.71,0.03,0.01,0.07
Sudan,70.71,0.02,0.001,0.05
Suriname,62.94,0.06,0.02,0.1
Eswatini,58.6,0.12,0.03,0.16
Sweden,107.72,0.17,0.04,0.25
Switzerland,93.08,0.17,0.04,0.25
Tajikistan,63.38,0.09,0.02,0.12
Thailand,60.88,0.03,0.01,0.07
The former Yugoslav Republic of Macedonia,78.51,0.12,0.03,0.16
Timor-Leste,57.52,0.12,0.03,0.16
Togo,59.79,0.02,0.001,0.05
Trinidad and Tobago,83.36,0.12,0.03,0.16
Tunisia,98.59,0.09,0.02,0.12
Turkey,108.12,0.09,0.02,0.12
Turkmenistan,90.49,0.09,0.02,0.12
Uganda,52.68,0.02,0.001,0.05
Ukraine,88.62,0.17,0.04,0.25
United Arab Emirates,104.62,0.09,0.02,0.12
United Kingdom,103.21,0.17,0.04,0.25
United Republic of Tanzania,57.8,0.02,0.001,0.05
United States of America,109.6,0.22,0.04,0.33
Uruguay,92.44,0.06,0.02,0.1
Uzbekistan,83.43,0.09,0.02,0.12
Vanuatu,69.68,0.12,0.03,0.16
Venezuela (Bolivarian Republic of),73.01,0.06,0.02,0.1
Viet Nam,81.61,0.03,0.01,0.07
Yemen,58.94,0.09,0.02,0.12
Zambia,55.22,0.02,0.001,0.05
Zimbabwe,48.35,0.02,0.001,0.05
China,98.04,0.15,0.04,0.2
