Country,Panimal,Pvegetal,Mid,Min,Max
Peru,27.04,47.88,0.06,0.02,0.1
Philippines,24.86,35.07,0.03,0.01,0.07
Poland,53.27,48.2,0.17,0.04,0.25
Portugal,67.29,43.59,0.17,0.04,0.25
Republic of Korea,46.13,50.07,0.15,0.04,0.2
Republic of Moldova,35.24,36.17,0.17,0.04,0.25
Romania,47.2,55.82,0.17,0.04,0.25
Russian Federation,56.18,46.66,0.17,0.04,0.25
Rwanda,5.59,51.22,0.02,0.001,0.05
Saint Kitts and Nevis,45.58,26.74,0.12,0.03,0.16
Saint Lucia,50.62,35.09,0.12,0.03,0.16
Saint Vincent and the Grenadines,46.97,39.26,0.12,0.03,0.16
Samoa,53.66,31.87,0.12,0.03,0.16
Sao Tome and Principe,15.9,37.18,0.12,0.03,0.16
Saudi Arabia,39.93,51.7,0.09,0.02,0.12
Senegal,15.25,43.24,0.02,0.001,0.05
Serbia,39.94,42.28,0.17,0.04,0.25
Sierra Leone,14.87,41.26,0.02,0.001,0.05
Slovakia,34.95,37.56,0.17,0.04,0.25
Slovenia,51.81,44.38,0.17,0.04,0.25
Solomon Islands,17.46,38.9,0.12,0.03,0.16
South Africa,36.39,48.94,0.02,0.001,0.05
Spain,65.15,39.73,0.17,0.04,0.25
Sri Lanka,16.31,43.4,0.03,0.01,0.07
Sudan,29.2,41.51,0.02,0.001,0.05
Suriname,28.38,34.56,0.06,0.02,0.1
Eswatini,17.59,41.01,0.12,0.03,0.16
Sweden,70.83,36.89,0.17,0.04,0.25
Switzerland,59.77,33.31,0.17,0.04,0.25
Tajikistan,21.26,42.12,0.09,0.02,0.12
Thailand,24.85,36.03,0.03,0.01,0.07
The former Yugoslav Republic of Macedonia,32.25,46.26,0.12,0.03,0.16
Timor-Leste,17.75,39.77,0.12,0.03,0.16
Togo,9.04,50.75,0.02,0.001,0.05
Trinidad and Tobago,43.12,40.24,0.12,0.03,0.16
Tunisia,28.38,70.21,0.09,0.02,0.12
Turkey,36.31,71.81,0.09,0.02,0.12
Turkmenistan,37.94,52.55,0.09,0.02,0.12
Uganda,12.39,40.29,0.02,0.001,0.05
Ukraine,43.15,45.47,0.17,0.04,0.25
United Arab Emirates,41.69,62.93,0.09,0.02,0.12
United Kingdom,58.28,44.93,0.17,0.04,0.25
United Republic of Tanzania,10.21,47.59,0.02,0.001,0.05
United States of America,69.79,39.81,0.22,0.04,0.33
Uruguay,54,38.44,0.06,0.02,0.1
Uzbekistan,29.19,54.24,0.09,0.02,0.12
Vanuatu,29.23,40.45,0.12,0.03,0.16
Venezuela (Bolivarian Republic of),38.12,34.89,0.06,0.02,0.1
Viet Nam,31.06,50.55,0.03,0.01,0.07
Yemen,13.88,45.06,0.09,0.02,0.12
Zambia,9.23,45.99,0.02,0.001,0.05
Zimbabwe,11.76,36.59,0.02,0.001,0.05
China,39.64,58.4,0.15,0.04,0.2
