Parameter
Daily_Flushes
Flush_Volume
Membrane_Flux
Velocity_Crossflow
Pressure_Membrane
Fill_Fraction_GAC_Column
UF_GAC_N_P_Removal
Clinoptilolite_Cost
Polonite_Cost
Clinoptilolite_Capacity
Polonite_Capacity
N_Content_Protein
N_P_Excretion
N_Urine
P_Content_A_Protein
P_Content_V_Protein
P_Urine
Seperation_Efficiency
Density_GAC
Lifetime_GAC
Power_Required_Treatment_EC
Current_EC
Power_Stirrer
Flowrate_Discharge
Pump_UF_Lifetime
Membrane_UF_Lifetime
Switch_Lifetime
Valve_UF_Lifetime
Electrode_EC_Lifetime
Stirrer_Lifetime
U_Pump_Misc_Lifetime
Discount_Rate
U_Pump_UF
U_Valve_UF
U_Tank_UF
U_Switch
UF_Material_Costs
GAC_Material_Costs
U_Stirrer_EC
U_Electrode_EC
EC_Material_Costs
US_Initial_Unit_Cost_Controls
InCountry_Initial_Unit_Cost_Controls
Controls_Material_Costs
U_Pump_Misc
Misc_Material_Costs
U_Media_GAC
Monthly_Work_Days
Construction_Time
Maintenance_Frequency
Maintenance_Time
