Impact,LCI_Membrane,Steel,Steel_and_Casting,PVC_and_Extrusion,PVE_and_Extrusion,PC_and_Extrusion,Nylon_6,Nylon_6_and_Extrusion,Aluminum_and_Casting,Clay,E_Connector,Electronic_Active,Electronic_Passive,Electronic_Controls,Fiberglass,Foam,PS,Glass_Nylon_LED,LCI_Cable,LCI_Motor,LCI_Pump,LCI_Switch,LCI_Transformer,LED,PP,PP_and_Extrusion,Titanium,Zinc,Nuclear_Electricity,Min_Hydro_Electricity,Max_Hydro_Electricity,Geothermal_Electricity,Min_Wind_Electricity,Mid_Wind_Electricity,Max_Wind_Electricity,Min_Solar_Electricity,Max_Solar_Electricity,Waste_Electricity,Coal_Electricity,Oil_Electricity,Min_Gas_Electricity,Mid_Gas_Electricity,Max_Gas_Electricity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
